AuthorName,AuthorId,AuthorLink
Abraham   Verghese,93353,https://www.goodreads.com/author/show/93353.Abraham_Verghese?utm_medium=api&utm_source=author_link
Alan Moore,3961,https://www.goodreads.com/author/show/3961.Alan_Moore?utm_medium=api&utm_source=author_link
Audrey Niffenegger,498072,https://www.goodreads.com/author/show/498072.Audrey_Niffenegger?utm_medium=api&utm_source=author_link
Bill Martin Jr.,5086768,https://www.goodreads.com/author/show/5086768.Bill_Martin_Jr_?utm_medium=api&utm_source=author_link
Bob Woodward,15441,https://www.goodreads.com/author/show/15441.Bob_Woodward?utm_medium=api&utm_source=author_link
Bruce Springsteen,236007,https://www.goodreads.com/author/show/236007.Bruce_Springsteen?utm_medium=api&utm_source=author_link
Charlaine Harris,17061,https://www.goodreads.com/author/show/17061.Charlaine_Harris?utm_medium=api&utm_source=author_link
Dale Carnegie,3317,https://www.goodreads.com/author/show/3317.Dale_Carnegie?utm_medium=api&utm_source=author_link
Dan Brown,630,https://www.goodreads.com/author/show/630.Dan_Brown?utm_medium=api&utm_source=author_link
Daniel H. Pink,96150,https://www.goodreads.com/author/show/96150.Daniel_H_Pink?utm_medium=api&utm_source=author_link
Daniel Lipkowitz,241540,https://www.goodreads.com/author/show/241540.Daniel_Lipkowitz?utm_medium=api&utm_source=author_link
Dav Pilkey,33280,https://www.goodreads.com/author/show/33280.Dav_Pilkey?utm_medium=api&utm_source=author_link
Dave Ramsey,44526,https://www.goodreads.com/author/show/44526.Dave_Ramsey?utm_medium=api&utm_source=author_link
David McCullough,6281688,https://www.goodreads.com/author/show/6281688.David_McCullough?utm_medium=api&utm_source=author_link
David Zinczenko,2484,https://www.goodreads.com/author/show/2484.David_Zinczenko?utm_medium=api&utm_source=author_link
Donna Tartt,8719,https://www.goodreads.com/author/show/8719.Donna_Tartt?utm_medium=api&utm_source=author_link
Dr. Seuss,61105,https://www.goodreads.com/author/show/61105.Dr_Seuss?utm_medium=api&utm_source=author_link
Edward M. Kennedy,591748,https://www.goodreads.com/author/show/591748.Edward_M_Kennedy?utm_medium=api&utm_source=author_link
Elie Wiesel,1049,https://www.goodreads.com/author/show/1049.Elie_Wiesel?utm_medium=api&utm_source=author_link
Eric Carle,3362,https://www.goodreads.com/author/show/3362.Eric_Carle?utm_medium=api&utm_source=author_link
F. Scott Fitzgerald,3190,https://www.goodreads.com/author/show/3190.F_Scott_Fitzgerald?utm_medium=api&utm_source=author_link
