AuthorId,AuthorName,Gender,Hometown
14980615,Chip Gaines,female,"Albuquerque, New Mexico"
33280,Dav Pilkey,,"Cleveland, OH"
61105,Dr. Seuss,male,"Springfield, MA"
3362,Eric Carle,male,"Syracuse, New York"
4880403,Emily Winfield Martin,female,
217195,Sarah  Young,female,
5086768,Bill Martin Jr.,male,
59483,Nintendo,,Kyoto
6906496,Brandon Stanton,,
7064519,Nathan W. Pyle,,
1077326,J.K. Rowling,female,"Yate, South Gloucestershire, England"
5725556,Lin-Manuel Miranda,male,"Manhattan, New York City, New York"
4454736,Sherri Duskey Rinker,female,"Chicago, IL"
17835618,Jill Twiss,,"Redmond, Oregon"
19794,Rush Limbaugh,male,"Cape Girardeau, Missouri"
191218,Alice Schertle,female,"Los Angeles, California"
141487,Pete Souza,male,
311467,Mark R. Levin,male,"Philadelphia, PA"
221559,Jeff Kinney,male,"Andrews Air Force Base, Maryland"
27281,Bill O'Reilly,,"Manhasset, New York"
17129144,Adir Levy,,
118821,School Zone,,
1124,Anthony Bourdain,male,"New York City, New York"
18479,Margaret Wise Brown,female,"Pomfret, Connecticut"
6561846,Drew Daywalt,male,
14031444,Paul Kalanithi,male,"Westchester, New York"
7043934,Delia Owens,,
17595,Adam Mansbach,,
15401886,Samin Nosrat,,
18672942,Delegates of the Constitutional Convention,,
6785,Giles Andreae,male,"London, England"
23793,Golden Books,,
3161,Sandra Boynton,female,"Orange, New Jersey"
15049422,Angie Thomas,female,"Jackson, MS"
6185262,Phil Robertson,,"Vivian, Louisiana"
21618,Raina Telgemeier,female,San Francisco
4859212,R.J. Palacio,female,
4161881,Crispin Boyer,,
8305468,National Geographic Kids,,Washington D.C.
61792,Lysa TerKeurst,female,
622,Gary Chapman,male,
138426,W. Cleon Skousen,,"Raymond, Alberta"
142845,Ann Whitford Paul,female,
17348719,Hopscotch Girls,,
15872,Rick Riordan,male,"San Antonio, Texas"
4489,Maurice Sendak,male,"Brooklyn, New York"
20376761,Bessel van der Kolk MD,,
14980616,Joanna Gaines,female,Kansas
7115158,B.J. Novak,male,
486329,Daniel James Brown,male,
2331,Mitch Albom,,"Passaic, New Jersey"
159300,Tucker Carlson,male,"San Francisco, California"
1943477,Kathryn Stockett,female,"Jackson, Mississippi"
216562,Rod Campbell,male,
3465,Julia Child,female,"Pasadena, California"
821537,Deborah Diesen,female,
6252,Robert Jordan,male,"Charleston, South Carolina"
2658,Ina Garten,female,"Brooklyn, New York"
1825,Harper Lee,female,"Monroeville, Alabama"
2338628,Michelle Obama,,"Chicago, Illinois"
1093919,Marjorie Sarnat,,
3078,Atul Gawande,male,"Brooklyn, New York"
19722899,Craig           Smith,male,Clyde
